participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.contribution,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,2uiqgotk,,0,0,30,,,,,,0,,,0,1,,1,1,0,1,,,1,1,4j09kcvf,,,,,,1
2,bp619nv6,,0,0,30,,,,,,0,,,0,2,,1,1,0,1,,,1,1,4j09kcvf,,,,,,1
3,2ih31quz,,0,0,30,,,,,,0,,,0,3,,1,1,0,1,,,1,1,4j09kcvf,,,,,,1
4,ks11tixk,,0,0,30,,,,,,0,,,0,4,,1,1,0,1,,,1,1,4j09kcvf,,,,,,1
1,2uiqgotk,,0,0,30,,,,,,0,,,0,1,,2,2,0,1,,,2,2,4j09kcvf,,,,,,1
2,bp619nv6,,0,0,30,,,,,,0,,,0,2,,2,2,0,1,,,2,2,4j09kcvf,,,,,,1
3,2ih31quz,,0,0,30,,,,,,0,,,0,3,,2,2,0,1,,,2,2,4j09kcvf,,,,,,1
4,ks11tixk,,0,0,30,,,,,,0,,,0,4,,2,2,0,1,,,2,2,4j09kcvf,,,,,,1
1,xf14q8gz,,0,31,30,survey,1,CognitiveReflectionTest,10.192.26.70,2018-04-25 09:19:23.073381+00:00,1,,,505,1,20,3,3,195,1,230,115,3,1,04fxgv9y,,,,,,0
2,ls059fom,,0,31,30,survey,1,CognitiveReflectionTest,10.192.13.97,2018-04-25 09:18:34.087619+00:00,1,,,420,2,50,3,3,165,1,230,115,3,1,04fxgv9y,,,,,,0
3,8b5t08et,,0,31,30,survey,1,CognitiveReflectionTest,10.192.108.113,2018-04-25 09:18:44.021807+00:00,1,,,355,3,100,3,3,115,1,230,115,3,1,04fxgv9y,,,,,,0
4,xrmet0w6,,0,31,30,survey,1,CognitiveReflectionTest,10.192.92.44,2018-04-25 09:18:55.902939+00:00,1,,,430,4,60,3,3,155,1,230,115,3,1,04fxgv9y,,,,,,0
1,xf14q8gz,,0,31,30,survey,1,CognitiveReflectionTest,10.192.26.70,2018-04-25 09:19:23.073381+00:00,1,,,505,1,40,4,4,200,1,280,140,4,2,04fxgv9y,,,,,,0
2,ls059fom,,0,31,30,survey,1,CognitiveReflectionTest,10.192.13.97,2018-04-25 09:18:34.087619+00:00,1,,,420,2,75,4,4,165,1,280,140,4,2,04fxgv9y,,,,,,0
3,8b5t08et,,0,31,30,survey,1,CognitiveReflectionTest,10.192.108.113,2018-04-25 09:18:44.021807+00:00,1,,,355,3,100,4,4,140,1,280,140,4,2,04fxgv9y,,,,,,0
4,xrmet0w6,,0,31,30,survey,1,CognitiveReflectionTest,10.192.92.44,2018-04-25 09:18:55.902939+00:00,1,,,430,4,65,4,4,175,1,280,140,4,2,04fxgv9y,,,,,,0
